City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,sain alto,23.5833,-103.25,77.32,13,0,4.18,MX,1678651739
329,ampanihy,-24.7,44.75,72.01,89,0,7.29,MG,1678651739
330,kahului,20.8947,-156.47,79.3,73,20,19.57,US,1678651740
331,sangar,63.9242,127.4739,-7.71,100,99,4.43,RU,1678651740
332,yeppoon,-23.1333,150.7333,78.58,90,4,4.47,AU,1678651740
333,dutse,11.7594,9.3392,81.01,9,100,8.59,NG,1678651741
334,termoli,41.9888,14.9895,47.57,75,3,4.5,IT,1678651741
335,arman,59.7,150.1667,7.92,97,100,3.51,RU,1678651741
336,robertson,36.5167,-86.8667,48.18,86,100,13.49,US,1678651742
337,hambantota,6.1241,81.1185,77.34,84,41,14.41,LK,1678651742
338,vardo,70.3705,31.1107,12.18,85,0,14.97,NO,1678651743
339,van buren,35.4368,-94.3483,54.32,52,75,7.0,US,1678651743
340,dunajska streda,47.9927,17.6121,46.24,59,92,9.42,SK,1678651744
341,bathsheba,13.2167,-59.5167,84.81,65,40,13.8,BB,1678651744
342,buritis,-15.6178,-46.4233,86.31,53,100,0.72,BR,1678651589
343,barrhead,55.7992,-4.3929,51.03,89,100,18.99,GB,1678651745
344,gamba,-2.65,10.0,76.32,84,98,1.88,GA,1678651745
345,saint-louis,16.3333,-15.0,90.36,6,0,10.92,SN,1678651746
346,smithers,54.7804,-127.1743,17.92,79,100,9.22,CA,1678651513
347,axim,4.8699,-2.2405,79.92,83,26,5.66,GH,1678651746
348,cedar city,37.6775,-113.0619,48.4,57,75,3.44,US,1678651747
349,doka,13.5167,35.7667,82.22,10,74,10.92,SD,1678651747
350,kanniyakumari,8.0833,77.5667,79.52,78,5,19.53,IN,1678651747
351,merauke,-8.4667,140.3333,79.34,82,100,3.24,ID,1678651748
352,mengcheng,33.2579,116.5655,36.95,27,0,7.49,CN,1678651748
353,nuqui,5.7125,-77.2708,80.17,76,100,5.66,CO,1678651748
354,tigre,-34.426,-58.5796,99.05,37,0,5.75,AR,1678651536
355,magistralnyy,56.1725,107.4458,24.21,96,100,7.72,RU,1678651749
356,hay river,60.8156,-115.7999,3.9,85,63,3.22,CA,1678651749
357,acapulco,16.8634,-99.8901,82.22,69,0,12.66,MX,1678651523
358,muroto,33.2833,134.15,56.77,68,100,15.46,JP,1678651750
359,ankara,39.9199,32.8543,43.99,89,75,8.05,TR,1678651561
360,natchitoches,31.7668,-93.1335,61.65,88,100,11.5,US,1678651750
361,karasjok,69.4719,25.5112,-6.09,100,49,0.22,NO,1678651751
362,palana,59.1167,159.9667,24.85,90,100,18.16,RU,1678651751
363,bud,39.447,-86.1758,39.15,87,100,5.41,US,1678651751
364,rock sound,24.9,-76.2,75.24,69,0,5.08,BS,1678651752
365,paysandu,-32.3214,-58.0756,99.88,16,100,11.61,UY,1678651752
